"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 29 15:21:03 GMT 2021","Thu Jul 29 15:21:05 GMT 2021","1992","","TestingWikipedia","","TestingWikipedia","testLoginToAccountUnsuccesful","testLoginToAccountUnsuccesful()",""
"passed","Thu Jul 29 15:23:44 GMT 2021","Thu Jul 29 15:23:48 GMT 2021","4718","","TestingWikipedia","","TestingWikipedia","searchAndSaveToFile","searchAndSaveToFile()",""
"passed","Thu Jul 29 15:23:52 GMT 2021","Thu Jul 29 15:23:55 GMT 2021","3570","","TestingWikipedia","","TestingWikipedia","testPrivacyAndPolicyLink","testPrivacyAndPolicyLink()",""
"broken","Thu Jul 29 15:25:53 GMT 2021","Thu Jul 29 15:26:17 GMT 2021","23807","","TestingWikipedia","","TestingWikipedia","deleteData","deleteData()",""
"passed","Thu Jul 29 15:25:49 GMT 2021","Thu Jul 29 15:25:53 GMT 2021","3754","","TestingWikipedia","","TestingWikipedia","testLogout","testLogout()",""
"passed","Thu Jul 29 15:21:05 GMT 2021","Thu Jul 29 15:23:09 GMT 2021","124399","","TestingWikipedia","","TestingWikipedia","testDataList","testDataList()",""
"passed","Thu Jul 29 15:23:48 GMT 2021","Thu Jul 29 15:23:52 GMT 2021","3223","","TestingWikipedia","","TestingWikipedia","testLoginToAccountSuccesful","testLoginToAccountSuccesful()",""
"passed","Thu Jul 29 15:20:30 GMT 2021","Thu Jul 29 15:20:36 GMT 2021","6431","","TestingWikipedia","","TestingWikipedia","testPrivacyAndPolicy","testPrivacyAndPolicy()",""
"passed","Thu Jul 29 15:23:56 GMT 2021","Thu Jul 29 15:25:49 GMT 2021","112595","","TestingWikipedia","","TestingWikipedia","morePagesList","morePagesList()",""
"broken","Thu Jul 29 15:23:09 GMT 2021","Thu Jul 29 15:23:33 GMT 2021","23927","","TestingWikipedia","","TestingWikipedia","repeatedDataTyping","repeatedDataTyping()",""
"passed","Thu Jul 29 15:23:55 GMT 2021","Thu Jul 29 15:23:56 GMT 2021","1246","","TestingWikipedia","","TestingWikipedia","testEnglishButton","testEnglishButton()",""
"passed","Thu Jul 29 15:23:33 GMT 2021","Thu Jul 29 15:23:44 GMT 2021","10349","","TestingWikipedia","","TestingWikipedia","dataModifing","dataModifing()",""
"broken","Thu Jul 29 15:20:36 GMT 2021","Thu Jul 29 15:21:03 GMT 2021","26446","","TestingWikipedia","","TestingWikipedia","newDataTyping","newDataTyping()",""
